SAMPLE_NAME	DESIGNATION	PARENT_A	PARENT_B	
ICMX 2010787:5	ICMX 2010787	ICMR 102387	ICMR 102623	
ICMX 2010787:1	ICMX 2010787	ICMR 102387	ICMR 102623	
ICMX 2010787:2	ICMX 2010787	ICMR 102387	ICMR 102623	
ICMX 2010787:3	ICMX 2010787	ICMR 102387	ICMR 102623	
ICMX 2010787:4	ICMX 2010787	ICMR 102387	ICMR 102623	
ICMX 2010788:8	ICMX 2010788	ICMR 100437	ICMR 102623	
ICMX 2010788:1	ICMX 2010788	ICMR 100437	ICMR 102623	
ICMX 2010788:2	ICMX 2010788	ICMR 100437	ICMR 102623	
ICMX 2010788:3	ICMX 2010788	ICMR 100437	ICMR 102623	
ICMX 2010788:4	ICMX 2010788	ICMR 100437	ICMR 102623	
ICMX 2010788:5	ICMX 2010788	ICMR 100437	ICMR 102623	
ICMX 2010788:6	ICMX 2010788	ICMR 100437	ICMR 102623	
ICMX 2010788:7	ICMX 2010788	ICMR 100437	ICMR 102623	
ICMX 2010789:1	ICMX 2010789	ICMR 15666	ICMR 102623	
ICMX 2010789:2	ICMX 2010789	ICMR 15666	ICMR 102623	
ICMX 2010789:3	ICMX 2010789	ICMR 15666	ICMR 102623	
ICMX 2010789:4	ICMX 2010789	ICMR 15666	ICMR 102623	
ICMX 2010789:5	ICMX 2010789	ICMR 15666	ICMR 102623	
ICMX 2010789:6	ICMX 2010789	ICMR 15666	ICMR 102623	
ICMX 2010789:7	ICMX 2010789	ICMR 15666	ICMR 102623	
ICMX 2010789:8	ICMX 2010789	ICMR 15666	ICMR 102623	
ICMX 2010789:9	ICMX 2010789	ICMR 15666	ICMR 102623	
ICMX 2010789:10	ICMX 2010789	ICMR 15666	ICMR 102623	
ICMX 2010789:11	ICMX 2010789	ICMR 15666	ICMR 102623	
ICMX 2010789:12	ICMX 2010789	ICMR 15666	ICMR 102623	
ICMX 2010790:7	ICMX 2010790	ICMR 102387	ICMR 102622	
ICMX 2010790:1	ICMX 2010790	ICMR 102387	ICMR 102622	
ICMX 2010790:2	ICMX 2010790	ICMR 102387	ICMR 102622	
ICMX 2010790:3	ICMX 2010790	ICMR 102387	ICMR 102622	
ICMX 2010790:4	ICMX 2010790	ICMR 102387	ICMR 102622	
ICMX 2010790:5	ICMX 2010790	ICMR 102387	ICMR 102622	
ICMX 2010790:6	ICMX 2010790	ICMR 102387	ICMR 102622	
ICMX 2010791:9	ICMX 2010791	ICMR 100437	ICMR 102622	
ICMX 2010791:10	ICMX 2010791	ICMR 100437	ICMR 102622	
ICMX 2010791:1	ICMX 2010791	ICMR 100437	ICMR 102622	
ICMX 2010791:2	ICMX 2010791	ICMR 100437	ICMR 102622	
ICMX 2010791:3	ICMX 2010791	ICMR 100437	ICMR 102622	
ICMX 2010791:4	ICMX 2010791	ICMR 100437	ICMR 102622	
ICMX 2010791:5	ICMX 2010791	ICMR 100437	ICMR 102622	
ICMX 2010791:6	ICMX 2010791	ICMR 100437	ICMR 102622	
ICMX 2010791:7	ICMX 2010791	ICMR 100437	ICMR 102622	
ICMX 2010791:8	ICMX 2010791	ICMR 100437	ICMR 102622	
ICMX 2010792:9	ICMX 2010792	ICMS 8511 S1-17-2-1-1-4-1-B-3-2-3-2-B-1-1-B	ICMR 102622	
ICMX 2010792:1	ICMX 2010792	ICMS 8511 S1-17-2-1-1-4-1-B-3-2-3-2-B-1-1-B	ICMR 102622	
ICMX 2010792:2	ICMX 2010792	ICMS 8511 S1-17-2-1-1-4-1-B-3-2-3-2-B-1-1-B	ICMR 102622	
ICMX 2010792:3	ICMX 2010792	ICMS 8511 S1-17-2-1-1-4-1-B-3-2-3-2-B-1-1-B	ICMR 102622	
